name,type,district,lat,lon,indoor,noise,romantic,budget_level,walk_score,alcohol_available,extrovert_friendly,tags,address,phone
키사라 여의도점,restaurant,영등포구,37.48418371154224,126.93882052708638,1,3,3,2,3,no,yes,음식점>일식>일식당,서울특별시 영등포구 여의도동 20 LG트윈타워 동관 5층,
이타마에,restaurant,영등포구,37.52448043343454,127.02669841311825,1,3,3,2,3,no,yes,음식점>일식>일식당,서울특별시 영등포구 여의도동 37 아일렉스빌딩 5층,
일식비,restaurant,영등포구,37.444193510687796,126.9046024929089,1,3,3,2,3,no,yes,음식점>일식>일식당,서울특별시 영등포구 여의도동 61 여의도금호리첸시아 지하1층,
중앙해장 여의도점,restaurant,영등포구,37.43611526233883,126.97113738900354,1,3,3,2,3,no,yes,음식점>한식>해장국,서울특별시 영등포구 여의도동 23-2 원센티널 2층,
미나리밭오리사냥 문래점,restaurant,영등포구,37.59342487354341,127.00717452539715,1,3,3,2,3,no,yes,한식>오리요리,서울특별시 영등포구 문래동2가 43-7 미나리밭 오리사냥 문래점,
박만배아리랑보쌈 문래점,restaurant,영등포구,37.47469187632967,127.08430065885273,1,3,3,2,3,no,yes,음식점>한식,서울특별시 영등포구 문래동6가 29 신일아르디세 110호,
장보리 영등포점,restaurant,영등포구,37.47575831607922,127.09171407021988,1,3,3,2,3,no,yes,음식점>한식,"서울특별시 영등포구 양평동1가 1-35 1층, 2층",
도도돗,restaurant,영등포구,37.56235534156719,126.91398781735901,1,3,3,2,3,no,yes,음식점>한식,"서울특별시 영등포구 여의도동 35-2 3층 2, 3호",
맨홀커피,cafe,영등포구,37.53284336378207,127.04996918414028,1,2,3,2,3,no,no,"음식점>카페,디저트",서울특별시 영등포구 당산동5가 43 B동상가 지하1층,
카페설리번 당산점,cafe,영등포구,37.445820409509594,127.02213716227257,1,2,3,2,3,no,no,"음식점>카페,디저트",서울특별시 영등포구 당산동6가 311-1 유니언타운 1층 카페 설리번,
로스톤,cafe,영등포구,37.433153687198924,126.95524384761504,1,2,3,2,3,no,no,"음식점>카페,디저트",서울특별시 영등포구 대림동 726-7 1-4층,
셰프의 아이들,cafe,영등포구,37.48032592163114,127.05522151708826,1,2,3,2,3,no,no,"카페,디저트>베이커리","서울특별시 영등포구 당산동1가 309 1층, 2층",
러스트 베이커리,cafe,영등포구,37.44970987505216,127.00495955816902,1,2,3,2,3,no,no,"카페,디저트>베이커리",서울특별시 영등포구 문래동2가 42-19 러스트베이커리,
카페 레이어드 더현대서울점,cafe,영등포구,37.57540809890375,127.07546127650481,1,2,3,2,3,no,no,"음식점>카페,디저트",서울특별시 영등포구 여의도동 22 지하 1층,
입허전,cafe,영등포구,37.55332213022562,126.99924922974498,1,2,3,2,3,no,no,"카페,디저트>베이커리",서울특별시 영등포구 문래동2가 57-4 2층 입허전,
라플로레종,cafe,서대문구,37.560977556226725,126.93915483134151,1,2,3,2,3,no,no,"카페,디저트>케이크전문",서울특별시 서대문구 창천동 50-19 1층 라플로레종,
미묘,cafe,서대문구,37.48823655301317,126.97794383252099,1,2,3,2,3,no,no,"음식점>카페,디저트",서울특별시 서대문구 연희동 129-1 1층,
마우디 브런치,cafe,서대문구,37.59054048053329,126.96703803871391,1,2,3,2,3,no,no,브런치카페,서울특별시 서대문구 연희동 194-30 브라운스톤 A 102,
카페폭포,cafe,서대문구,37.4402355098985,127.08475341030454,1,2,3,2,3,no,no,"음식점>카페,디저트",서울특별시 서대문구 홍은동 429,
